,sim,sentence1,sentence2
631,0,40 inmates serving sentences murder ,105 inmates serving sentences drug trafficking
632,0,russia fulfilling obligations decreasing forces ,russias suspension obligations cfe treaty temporary
633,1,executive director arms control association washington daryl kimball stated iaea report 1 series bad signs ,executive director arms control association washington daryl kimball stated israeli document could affect debate india
634,1,cfe 1 several issues negatively impacting russias relations united states europe ,treaty one several issues causing tense relations governments russia us europe
635,1,korobeynichevs laboratory worked us lawrence livermore national laboratory ,korobeynichevs laboratory worked scientific institutes
636,0,lugar nunn senators ,lugar nunn awarded prime minister medal
637,1,officials state decision treaty depend us action plans deploy missile defense systems poland czech republic ,russian military officials stated decision would depend whether united states proceeds plan deploy missile defense components poland czech republic
638,1,signing agreement peripheral issue meeting chiefs defense staff 26 ally countries nato ,agreement signed regular meeting chiefs defense staff 26 nato allies
639,1,early may 2002 officials philippines malaysia indonesia signed antiterrorism agreement share airline passenger lists intelligence ,early may 2002 philippines malaysia indonesia signed agreement share terrorism intelligence
640,1,first meeting leaders european union leaders albania bosnia herzegowina croatia macedonia serbia montenegro leaders western balkan countries pledge diminish organized crime corruption balkans meet requirements european union membership ,leaders albania bosnia herzegowina croatia macedonia serbia montenegro met first time european union leaders pursue joining european union
641,1,resolution requires 192 united nations member states adopt laws prevent terrorists black marketeers nonstate actors manufacturing acquiring trafficking nuclear biological chemical weapons materials make ,resolution 1540 requires countries adopt laws prevent nonstate actors manufacturing acquiring trafficking nuclear biological chemical weapons materials make missiles systems deliver
642,0,international atomic energy association stated jordan agreed additional measures ,international atomic energy association united nations watchdog
643,0,much concern drug ,much work done
644,1,amnesty international report suggested belgium begin immediate talks india prevent future sales alh components military technology myanmar ,report urged belgium begin immediate talks india order prevent future weapons sale myanmar
645,1,capital offenses iran include murder rape armed robbery apostasy blasphemy serious drug trafficking repeated sodomy adultery prostitution treason espionage ,capital offenses iran include murder rape armed robbery serious drug trafficking adultery
646,1,saudi arabia absolute monarchy taken steps towards reform ,saudi arabia absolute monarchy consultative council appointed government
647,1,spokesman said exchange opinions topical international regional matters based joint working relationship heart un kamynin said russia recognizes participation libya work un security council ,kamynin said exchange opinions topical international regional matters based joint working relationship heart un
648,1,shalgams visit london first libyan foreign minister since 1969 ,visit libya russian foreign minister announced
649,0,indian pakistani governments nearly engaged fourth conflict 1999 ,indian pakistani governments conducted nuclear tests may 1998
650,1,iguaran stated detainees accused homicide criminal collaboration kidnappings funding terrorism ,iguaran stated detainees also involved murders police members antikidnapping group
651,1,3 suspected extremists released bail ,1 suspected extremist provisionally released without bail
652,0,6 czech hospital employees charged human organ trafficking ,accused charged international drug trafficking
653,0,aggravated situation ,north korea act aggravate situation
